high,low,date,close,open
188,184.899994,2017-04-26T00:00:00.000Z,186.669998,187.899994
187.5,182.330002,2017-04-25T00:00:00.000Z,186.990005,182.860001
180.649994,179.539993,2017-04-24T00:00:00.000Z,180.029999,180
180.399994,177.860001,2017-04-21T00:00:00.000Z,178.080002,180.399994
180.380005,178.410004,2017-04-20T00:00:00.000Z,178.639999,178.990005
181.179993,175.339996,2017-04-19T00:00:00.000Z,177.809998,175.619995
174.559998,172.070007,2017-04-18T00:00:00.000Z,174.470001,173.309998
173.800003,172.610001,2017-04-17T00:00:00.000Z,173.309998,172.610001
174.759995,172.460007,2017-04-13T00:00:00.000Z,172.610001,173.550003
174.869995,172.330002,2017-04-12T00:00:00.000Z,173.610001,172.470001
175.240005,172.580002,2017-04-11T00:00:00.000Z,173.009995,173.970001
174.679993,172.169998,2017-04-10T00:00:00.000Z,174.220001,172.300003
173.940002,171.169998,2017-04-07T00:00:00.000Z,172.440002,173.679993
174.729996,173.039993,2017-04-06T00:00:00.000Z,173.380005,173.800003
176.309998,172.460007,2017-04-05T00:00:00.000Z,172.919998,175.350006
176.660004,174.130005,2017-04-04T00:00:00.000Z,175.199997,174.759995
175.899994,173,2017-04-03T00:00:00.000Z,175,173
173.949997,171.460007,2017-03-31T00:00:00.000Z,172.520004,171.460007
172.619995,171.169998,2017-03-30T00:00:00.000Z,172.360001,171.710007
172.100006,169.339996,2017-03-29T00:00:00.000Z,170.660004,170
170.669998,168.580002,2017-03-28T00:00:00.000Z,169.789993,168.929993
170.669998,166,2017-03-27T00:00:00.000Z,168.929993,166.229996
170.470001,167.850006,2017-03-24T00:00:00.000Z,168.259995,170.389999
170.020004,167.25,2017-03-23T00:00:00.000Z,169.610001,168.75
169.820007,167.75,2017-03-22T00:00:00.000Z,169.559998,169.820007
177.699997,170.270004,2017-03-21T00:00:00.000Z,171.399994,177.5
177.860001,174.589996,2017-03-20T00:00:00.000Z,176.130005,177.100006
178.860001,176.179993,2017-03-17T00:00:00.000Z,176.619995,176.889999
177.550003,173.399994,2017-03-16T00:00:00.000Z,176.570007,173.539993
173.309998,170.419998,2017-03-15T00:00:00.000Z,172.039993,173.009995
173.5,172.009995,2017-03-14T00:00:00.000Z,172.839996,173
174.110001,172.5,2017-03-13T00:00:00.000Z,173.25,172.889999
173.910004,171.929993,2017-03-10T00:00:00.000Z,172.740005,173.550003
175.199997,172.940002,2017-03-09T00:00:00.000Z,173.320007,174.029999
175.300003,173.300003,2017-03-08T00:00:00.000Z,173.869995,173.809998
174,171.240005,2017-03-07T00:00:00.000Z,173.740005,172.770004
174.149994,172.380005,2017-03-06T00:00:00.000Z,173.300003,174.149994
175.710007,173.279999,2017-03-03T00:00:00.000Z,173.789993,174.529999
176.490005,172.970001,2017-03-02T00:00:00.000Z,174.479996,175.330002
176.789993,175.130005,2017-03-01T00:00:00.000Z,175.330002,176.440002
175.919998,172.800003,2017-02-28T00:00:00.000Z,174.130005,172.800003
176.279999,171.729996,2017-02-27T00:00:00.000Z,172.970001,175.169998
181.75,173.910004,2017-02-24T00:00:00.000Z,175.169998,181
188.539993,183.910004,2017-02-23T00:00:00.000Z,184.639999,187.889999
