high,low,date,close,open
24.190001,23.860001,2017-04-26T00:00:00.000Z,23.889999,24
24.35,23.91,2017-04-25T00:00:00.000Z,23.98,23.99
23.85,23.24,2017-04-24T00:00:00.000Z,23.629999,23.24
23.08,22.59,2017-04-21T00:00:00.000Z,22.709999,23.030001
23.17,22.82,2017-04-20T00:00:00.000Z,23.07,22.959999
23.15,22.68,2017-04-19T00:00:00.000Z,22.74,22.92
23.15,22.379999,2017-04-18T00:00:00.000Z,22.709999,23.110001
22.83,22.26,2017-04-17T00:00:00.000Z,22.809999,22.360001
22.959999,22.34,2017-04-13T00:00:00.000Z,22.34,22.559999
22.940001,22.610001,2017-04-12T00:00:00.000Z,22.65,22.879999
22.950001,22.58,2017-04-11T00:00:00.000Z,22.92,22.83
23.280001,22.91,2017-04-10T00:00:00.000Z,23.02,23.129999
23.34,22.93,2017-04-07T00:00:00.000Z,23.16,23.030001
23.459999,22.959999,2017-04-06T00:00:00.000Z,23.26,23.17
23.879999,23.15,2017-04-05T00:00:00.000Z,23.17,23.77
23.51,23.200001,2017-04-04T00:00:00.000Z,23.440001,23.200001
23.75,23.08,2017-04-03T00:00:00.000Z,23.59,23.65
23.969999,23.59,2017-03-31T00:00:00.000Z,23.59,23.83
23.98,23.33,2017-03-30T00:00:00.000Z,23.870001,23.379999
23.65,23.309999,2017-03-29T00:00:00.000Z,23.35,23.51
23.67,23,2017-03-28T00:00:00.000Z,23.48,23.01
23.049999,22.16,2017-03-27T00:00:00.000Z,23.030001,22.280001
23.35,22.76,2017-03-24T00:00:00.000Z,23.120001,23.200001
23.49,22.91,2017-03-23T00:00:00.000Z,23.07,23.040001
23.18,22.450001,2017-03-22T00:00:00.000Z,22.940001,22.65
24.559999,22.950001,2017-03-21T00:00:00.000Z,23.02,24.5
24.76,24.42,2017-03-20T00:00:00.000Z,24.440001,24.58
25.27,24.83,2017-03-17T00:00:00.000Z,24.860001,25.219999
25.49,25.190001,2017-03-16T00:00:00.000Z,25.219999,25.24
25.549999,24.959999,2017-03-15T00:00:00.000Z,25.18,25.389999
25.34,25.049999,2017-03-14T00:00:00.000Z,25.32,25.190001
25.41,25.129999,2017-03-13T00:00:00.000Z,25.299999,25.299999
25.620001,25.09,2017-03-10T00:00:00.000Z,25.309999,25.620001
25.530001,25.23,2017-03-09T00:00:00.000Z,25.35,25.35
25.77,25.219999,2017-03-08T00:00:00.000Z,25.26,25.6
25.360001,25.1,2017-03-07T00:00:00.000Z,25.209999,25.219999
25.35,25.08,2017-03-06T00:00:00.000Z,25.25,25.33
25.65,25.299999,2017-03-03T00:00:00.000Z,25.440001,25.299999
25.799999,25.200001,2017-03-02T00:00:00.000Z,25.23,25.68
25.610001,25.219999,2017-03-01T00:00:00.000Z,25.5,25.370001
24.700001,24.42,2017-02-28T00:00:00.000Z,24.68,24.48
24.66,24.190001,2017-02-27T00:00:00.000Z,24.57,24.200001
24.35,24.02,2017-02-24T00:00:00.000Z,24.23,24.120001
24.889999,24.51,2017-02-23T00:00:00.000Z,24.58,24.790001
24.950001,24.540001,2017-02-22T00:00:00.000Z,24.790001,24.610001
24.799999,24.58,2017-02-21T00:00:00.000Z,24.780001,24.59
24.58,24.200001,2017-02-17T00:00:00.000Z,24.52,24.280001
24.620001,24.299999,2017-02-16T00:00:00.000Z,24.58,24.540001
24.77,24.110001,2017-02-15T00:00:00.000Z,24.58,24.34
24.17,23.33,2017-02-14T00:00:00.000Z,24.059999,23.4
23.540001,23.17,2017-02-13T00:00:00.000Z,23.4,23.17
23.24,22.959999,2017-02-10T00:00:00.000Z,23.08,23.190001
23.15,22.639999,2017-02-09T00:00:00.000Z,23.120001,22.76
22.73,22.450001,2017-02-08T00:00:00.000Z,22.67,22.73
23.290001,22.860001,2017-02-07T00:00:00.000Z,22.9,23.280001
23.379999,23.07,2017-02-06T00:00:00.000Z,23.120001,23.15
23.35,22.950001,2017-02-03T00:00:00.000Z,23.290001,23.15
22.790001,22.51,2017-02-02T00:00:00.000Z,22.719999,22.74
23.219999,22.82,2017-02-01T00:00:00.000Z,22.889999,22.969999
23.030001,22.5,2017-01-31T00:00:00.000Z,22.639999,22.77
23.200001,22.709999,2017-01-30T00:00:00.000Z,22.950001,23.200001
23.450001,23.280001,2017-01-27T00:00:00.000Z,23.360001,23.43
23.549999,23.280001,2017-01-26T00:00:00.000Z,23.440001,23.41
23.42,23.1,2017-01-25T00:00:00.000Z,23.370001,23.32
23.1,22.48,2017-01-24T00:00:00.000Z,22.950001,22.610001
22.76,22.42,2017-01-23T00:00:00.000Z,22.559999,22.620001
22.93,22.52,2017-01-20T00:00:00.000Z,22.639999,22.66
22.809999,22.41,2017-01-19T00:00:00.000Z,22.530001,22.73
22.65,22.1,2017-01-18T00:00:00.000Z,22.629999,22.299999
22.790001,22.01,2017-01-17T00:00:00.000Z,22.049999,22.68
23.41,22.799999,2017-01-13T00:00:00.000Z,23.01,23.209999
23.120001,22.610001,2017-01-12T00:00:00.000Z,22.92,23.01
23.07,22.719999,2017-01-11T00:00:00.000Z,23.07,22.940001
23.139999,22.540001,2017-01-10T00:00:00.000Z,22.940001,22.59
22.709999,22.4,2017-01-09T00:00:00.000Z,22.549999,22.51
22.85,22.559999,2017-01-06T00:00:00.000Z,22.68,22.780001
22.93,22.35,2017-01-05T00:00:00.000Z,22.68,22.82
22.959999,22.6,2017-01-04T00:00:00.000Z,22.950001,22.719999
22.68,22.200001,2017-01-03T00:00:00.000Z,22.530001,22.6
22.26,21.950001,2016-12-30T00:00:00.000Z,22.1,22.02
22.389999,21.77,2016-12-29T00:00:00.000Z,22,22.33
22.67,22.26,2016-12-28T00:00:00.000Z,22.33,22.620001
22.74,22.540001,2016-12-27T00:00:00.000Z,22.610001,22.709999
22.65,22.43,2016-12-23T00:00:00.000Z,22.6,22.51
22.73,22.469999,2016-12-22T00:00:00.000Z,22.540001,22.6
22.719999,22.469999,2016-12-21T00:00:00.000Z,22.629999,22.719999
22.83,22.610001,2016-12-20T00:00:00.000Z,22.709999,22.629999
22.719999,22.33,2016-12-19T00:00:00.000Z,22.48,22.6
23.32,22.65,2016-12-16T00:00:00.000Z,22.66,23.16
23.389999,22.799999,2016-12-15T00:00:00.000Z,23.16,22.9
23.299999,22.209999,2016-12-14T00:00:00.000Z,22.67,22.309999
22.879999,22.290001,2016-12-13T00:00:00.000Z,22.610001,22.799999
23.25,22.540001,2016-12-12T00:00:00.000Z,22.610001,23
23.17,22.780001,2016-12-09T00:00:00.000Z,23.09,22.950001
23.24,22.690001,2016-12-08T00:00:00.000Z,22.950001,22.790001
22.57,21.950001,2016-12-07T00:00:00.000Z,22.57,22.190001
22.16,21.719999,2016-12-06T00:00:00.000Z,22.16,22.09
