high,low,date,close,open
104.449997,99.650002,2017-04-26T00:00:00.000Z,104.099998,100
102,100.199997,2017-04-25T00:00:00.000Z,100.400002,101.25
100.800003,98.349998,2017-04-24T00:00:00.000Z,100.300003,100.349998
99,97.650002,2017-04-21T00:00:00.000Z,98.099998,98.949997
99,97.300003,2017-04-20T00:00:00.000Z,98.949997,97.849998
98.050003,96.5,2017-04-19T00:00:00.000Z,97.400002,98.050003
98.800003,96.150002,2017-04-18T00:00:00.000Z,97.199997,97.25
97.650002,94.650002,2017-04-17T00:00:00.000Z,97.599998,95.900002
97.150002,93.68,2017-04-13T00:00:00.000Z,96,94.449997
98.25,93,2017-04-12T00:00:00.000Z,94.5,98.25
97.949997,93.400002,2017-04-11T00:00:00.000Z,97.949997,94.900002
98.25,93.650002,2017-04-10T00:00:00.000Z,95.300003,95.849998
97.949997,93.150002,2017-04-07T00:00:00.000Z,96.099998,96.400002
97.900002,93.199997,2017-04-06T00:00:00.000Z,96.5,96.699997
96.730003,95,2017-04-05T00:00:00.000Z,96.650002,95.849998
95.400002,94.099998,2017-04-04T00:00:00.000Z,95.349998,94.099998
97.199997,93.139999,2017-04-03T00:00:00.000Z,94.199997,95.900002
96.300003,92.5,2017-03-31T00:00:00.000Z,95.400002,93
93.5,91.830002,2017-03-30T00:00:00.000Z,93,93.5
93.75,92,2017-03-29T00:00:00.000Z,93.449997,92.650002
93.849998,91.900002,2017-03-28T00:00:00.000Z,92.349998,92.949997
93.349998,91.550003,2017-03-27T00:00:00.000Z,93.050003,92.949997
96.400002,92.300003,2017-03-24T00:00:00.000Z,93.400002,95.300003
96.230003,91.309998,2017-03-23T00:00:00.000Z,95.050003,93.599998
93.75,91.699997,2017-03-22T00:00:00.000Z,93.300003,92.300003
96.129997,92.199997,2017-03-21T00:00:00.000Z,92.199997,95.650002
97.550003,94.849998,2017-03-20T00:00:00.000Z,95.25,97.199997
98.300003,92.150002,2017-03-17T00:00:00.000Z,97.900002,92.5
93.949997,92.099998,2017-03-16T00:00:00.000Z,92.599998,93.449997
93.25,92,2017-03-15T00:00:00.000Z,92.650002,93.25
94.099998,91.5,2017-03-14T00:00:00.000Z,92.800003,93.449997
94.099998,91.650002,2017-03-13T00:00:00.000Z,93.199997,91.650002
93.099998,91.949997,2017-03-10T00:00:00.000Z,92.349998,93.099998
92.800003,91.75,2017-03-09T00:00:00.000Z,92.050003,91.949997
92.949997,91.209999,2017-03-08T00:00:00.000Z,92.199997,92.099998
92.800003,91.849998,2017-03-07T00:00:00.000Z,92,92.099998
92.75,91.5,2017-03-06T00:00:00.000Z,92.199997,92.25
94.5,91.349998,2017-03-03T00:00:00.000Z,93,92.150002
95.75,92,2017-03-02T00:00:00.000Z,92.099998,95.75
94.449997,90.400002,2017-03-01T00:00:00.000Z,94.300003,92.199997
92.400002,90.150002,2017-02-28T00:00:00.000Z,91.449997,92.199997
93.349998,91.949997,2017-02-27T00:00:00.000Z,92.349998,92.050003
92.900002,91.75,2017-02-24T00:00:00.000Z,92.099998,91.900002
93.599998,91.660004,2017-02-23T00:00:00.000Z,92.5,93.599998
93.75,91.849998,2017-02-22T00:00:00.000Z,93.550003,91.900002
92.449997,90.849998,2017-02-21T00:00:00.000Z,92.199997,92.449997
92.449997,91.650002,2017-02-17T00:00:00.000Z,92.300003,92
92.300003,90.449997,2017-02-16T00:00:00.000Z,91.449997,92.300003
92.550003,91,2017-02-15T00:00:00.000Z,92.550003,91.5
92.699997,88.800003,2017-02-14T00:00:00.000Z,92.050003,89.400002
91.110001,89.449997,2017-02-13T00:00:00.000Z,90.5,91
90.449997,88.75,2017-02-10T00:00:00.000Z,90.150002,89.650002
90.800003,87.400002,2017-02-09T00:00:00.000Z,89.25,87.849998
89.400002,86.849998,2017-02-08T00:00:00.000Z,87.449997,89.400002
91.900002,89.150002,2017-02-07T00:00:00.000Z,89.400002,91.800003
91.800003,89.699997,2017-02-06T00:00:00.000Z,91.050003,89.699997
90.449997,89,2017-02-03T00:00:00.000Z,90,90.25
91.75,89,2017-02-02T00:00:00.000Z,89.300003,91.75
92.949997,87.449997,2017-02-01T00:00:00.000Z,91.699997,87.849998
88,85.5,2017-01-31T00:00:00.000Z,88,85.900002
86.5,85,2017-01-30T00:00:00.000Z,85.900002,85.150002
86.199997,84.349998,2017-01-27T00:00:00.000Z,85.949997,85.900002
87.400002,85.25,2017-01-26T00:00:00.000Z,85.400002,87.400002
86.75,84.900002,2017-01-25T00:00:00.000Z,86.75,85.599998
85.400002,84.099998,2017-01-24T00:00:00.000Z,85,84.75
84.349998,83.150002,2017-01-23T00:00:00.000Z,84,83.650002
85.150002,82.849998,2017-01-20T00:00:00.000Z,83.800003,84.199997
85.900002,83.529999,2017-01-19T00:00:00.000Z,83.650002,85.900002
86.199997,83.550003,2017-01-18T00:00:00.000Z,85.550003,84.150002
84.949997,83.849998,2017-01-17T00:00:00.000Z,84,84.800003
85.449997,83,2017-01-13T00:00:00.000Z,85.099998,84.849998
86,83.75,2017-01-12T00:00:00.000Z,84.650002,84.949997
86.650002,83.400002,2017-01-11T00:00:00.000Z,85.050003,85.099998
87.150002,85.400002,2017-01-10T00:00:00.000Z,85.5,85.849998
87,84.25,2017-01-09T00:00:00.000Z,86,84.900002
87.5,85.199997,2017-01-06T00:00:00.000Z,85.449997,86.599998
88.800003,86.400002,2017-01-05T00:00:00.000Z,86.900002,87.050003
88.300003,85.779999,2017-01-04T00:00:00.000Z,88.300003,86.150002
85.650002,83.099998,2017-01-03T00:00:00.000Z,85.650002,83.900002
84.849998,83.199997,2016-12-30T00:00:00.000Z,83.550003,84.449997
85,84,2016-12-29T00:00:00.000Z,84.5,85
88,85.5,2016-12-28T00:00:00.000Z,85.599998,87.900002
88.879997,87.349998,2016-12-27T00:00:00.000Z,87.800003,87.650002
88.199997,84.050003,2016-12-23T00:00:00.000Z,87.900002,86.599998
89.949997,85.550003,2016-12-22T00:00:00.000Z,87.099998,89.300003
90,88.589996,2016-12-21T00:00:00.000Z,88.949997,89.75
90.449997,89,2016-12-20T00:00:00.000Z,90.449997,90.150002
90.050003,88,2016-12-19T00:00:00.000Z,89.349998,90.050003
89.449997,88.25,2016-12-16T00:00:00.000Z,89.150002,89.25
89.400002,87.300003,2016-12-15T00:00:00.000Z,88.699997,87.75
88.800003,87,2016-12-14T00:00:00.000Z,87.849998,88
89.75,87.199997,2016-12-13T00:00:00.000Z,87.900002,88.949997
88.800003,85.849998,2016-12-12T00:00:00.000Z,88.800003,87.900002
88.279999,85.25,2016-12-09T00:00:00.000Z,87.75,87.5
86.650002,83.150002,2016-12-08T00:00:00.000Z,86,83.75
84.82,83.199997,2016-12-07T00:00:00.000Z,83.650002,84.449997
84.849998,81.660004,2016-12-06T00:00:00.000Z,83.800003,82.800003
83,79.949997,2016-12-05T00:00:00.000Z,83,79.949997
