high,low,date,close,open
16.48,15.76,2017-04-26T00:00:00.000Z,15.82,15.9
14.96,14.63,2017-04-25T00:00:00.000Z,14.66,14.71
14.82,14.56,2017-04-24T00:00:00.000Z,14.71,14.7
14.75,14.41,2017-04-21T00:00:00.000Z,14.63,14.65
14.75,14.51,2017-04-20T00:00:00.000Z,14.65,14.58
14.79,14.44,2017-04-19T00:00:00.000Z,14.54,14.44
14.56,14.27,2017-04-18T00:00:00.000Z,14.44,14.37
14.55,14.12,2017-04-17T00:00:00.000Z,14.4,14.3
14.5,14.22,2017-04-13T00:00:00.000Z,14.3,14.49
14.78,14.26,2017-04-12T00:00:00.000Z,14.42,14.34
14.4,14.2,2017-04-11T00:00:00.000Z,14.31,14.3
14.46,14.2,2017-04-10T00:00:00.000Z,14.36,14.3
14.43,14.25,2017-04-07T00:00:00.000Z,14.29,14.36
14.62,14.3,2017-04-06T00:00:00.000Z,14.39,14.53
14.82,14.41,2017-04-05T00:00:00.000Z,14.53,14.61
14.76,14.58,2017-04-04T00:00:00.000Z,14.69,14.75
14.98,14.65,2017-04-03T00:00:00.000Z,14.84,14.97
15.06,14.91,2017-03-31T00:00:00.000Z,14.95,14.93
15.08,14.9,2017-03-30T00:00:00.000Z,14.92,15.05
15.06,14.7,2017-03-29T00:00:00.000Z,15.04,14.86
15.17,14.8,2017-03-28T00:00:00.000Z,14.94,15
15.06,14.75,2017-03-27T00:00:00.000Z,14.99,15.02
15.37,15.03,2017-03-24T00:00:00.000Z,15.14,15.06
15.05,14.73,2017-03-23T00:00:00.000Z,14.93,14.99
14.99,14.32,2017-03-22T00:00:00.000Z,14.98,14.5
15.1,14.5,2017-03-21T00:00:00.000Z,14.54,15.08
15.11,14.82,2017-03-20T00:00:00.000Z,15.09,15.11
15.23,15.03,2017-03-17T00:00:00.000Z,15.08,15.2
15.28,15.04,2017-03-16T00:00:00.000Z,15.19,15.08
15.3,14.85,2017-03-15T00:00:00.000Z,15.03,15.25
15.58,15.15,2017-03-14T00:00:00.000Z,15.32,15.2
15.27,15.1,2017-03-13T00:00:00.000Z,15.21,15.1
15.27,14.94,2017-03-10T00:00:00.000Z,15.12,15.23
15.39,15.03,2017-03-09T00:00:00.000Z,15.22,15.24
15.36,15.08,2017-03-08T00:00:00.000Z,15.24,15.19
15.73,15.16,2017-03-07T00:00:00.000Z,15.18,15.52
15.78,15.5,2017-03-06T00:00:00.000Z,15.56,15.75
16.1,15.68,2017-03-03T00:00:00.000Z,15.75,15.84
16,15.72,2017-03-02T00:00:00.000Z,15.79,15.77
