high,low,date,close,open
48.470001,48.169998,2017-04-26T00:00:00.000Z,48.259998,48.400002
48.459999,48.16,2017-04-25T00:00:00.000Z,48.400002,48.290001
48.200001,47.75,2017-04-24T00:00:00.000Z,48.150002,47.889999
47.77,47.369999,2017-04-21T00:00:00.000Z,47.52,47.73
47.84,47.07,2017-04-20T00:00:00.000Z,47.669998,47.25
47.880001,46.93,2017-04-19T00:00:00.000Z,47,47.599998
47.75,47.139999,2017-04-18T00:00:00.000Z,47.560001,47.25
47.419998,46.919998,2017-04-17T00:00:00.000Z,47.389999,47.02
47.110001,46.610001,2017-04-13T00:00:00.000Z,46.900002,46.849998
47.16,46.669998,2017-04-12T00:00:00.000Z,46.830002,46.799999
47.209999,46.419998,2017-04-11T00:00:00.000Z,46.790001,47.029999
47.419998,46.400002,2017-04-10T00:00:00.000Z,47.209999,46.490002
46.529999,45.959999,2017-04-07T00:00:00.000Z,46.439999,46.23
46.43,46.040001,2017-04-06T00:00:00.000Z,46.279999,46.380001
46.919998,46.240002,2017-04-05T00:00:00.000Z,46.380001,46.41
46.470001,46.119999,2017-04-04T00:00:00.000Z,46.23,46.299999
46.849998,46.16,2017-04-03T00:00:00.000Z,46.43,46.5
46.700001,46.27,2017-03-31T00:00:00.000Z,46.41,46.52
47.049999,46.599998,2017-03-30T00:00:00.000Z,46.619999,46.799999
46.84,46.299999,2017-03-29T00:00:00.000Z,46.779999,46.52
46.759998,46.240002,2017-03-28T00:00:00.000Z,46.57,46.330002
46.48,45.740002,2017-03-27T00:00:00.000Z,46.400002,45.919998
46.869999,46.139999,2017-03-24T00:00:00.000Z,46.400002,46.650002
46.779999,46.09,2017-03-23T00:00:00.000Z,46.599998,46.130001
46.139999,45.599998,2017-03-22T00:00:00.000Z,46.060001,45.610001
47.189999,45.68,2017-03-21T00:00:00.000Z,45.77,47
47.16,46.52,2017-03-20T00:00:00.000Z,46.77,46.619999
46.900002,46.5,2017-03-17T00:00:00.000Z,46.59,46.73
46.619999,46.299999,2017-03-16T00:00:00.000Z,46.610001,46.599998
46.549999,45.900002,2017-03-15T00:00:00.000Z,46.290001,46.549999
46.759998,46.189999,2017-03-14T00:00:00.000Z,46.369999,46.41
47,46.099998,2017-03-13T00:00:00.000Z,46.57,46.099998
46.200001,45.75,2017-03-10T00:00:00.000Z,45.98,46.200001
46.119999,45.68,2017-03-09T00:00:00.000Z,45.939999,45.869999
46.189999,45.73,2017-03-08T00:00:00.000Z,45.98,45.849998
45.919998,45.490002,2017-03-07T00:00:00.000Z,45.73,45.5
45.689999,45.389999,2017-03-06T00:00:00.000Z,45.639999,45.610001
46,45.599998,2017-03-03T00:00:00.000Z,45.91,45.880001
46.130001,45.619999,2017-03-02T00:00:00.000Z,45.939999,46.02
46.41,45.889999,2017-03-01T00:00:00.000Z,46.240002,45.889999
45.75,45.25,2017-02-28T00:00:00.000Z,45.66,45.57
45.740002,45.240002,2017-02-27T00:00:00.000Z,45.709999,45.450001
45.549999,44.950001,2017-02-24T00:00:00.000Z,45.549999,45.139999
46.139999,45.290001,2017-02-23T00:00:00.000Z,45.41,46.040001
46.349998,45.450001,2017-02-22T00:00:00.000Z,45.98,45.470001
45.610001,45.099998,2017-02-21T00:00:00.000Z,45.5,45.220001
45.34,44.790001,2017-02-17T00:00:00.000Z,45.099998,44.950001
45.689999,45.009998,2017-02-16T00:00:00.000Z,45.16,45.650002
46.720001,44.639999,2017-02-15T00:00:00.000Z,45.650002,45.029999
45.580002,44.900002,2017-02-14T00:00:00.000Z,45.02,45.380001
45.57,44.939999,2017-02-13T00:00:00.000Z,45.459999,45.080002
45.23,44.959999,2017-02-10T00:00:00.000Z,45.029999,45.150002
45.240002,44.82,2017-02-09T00:00:00.000Z,45.080002,44.950001
45.189999,44.34,2017-02-08T00:00:00.000Z,45.07,44.5
44.59,44.189999,2017-02-07T00:00:00.000Z,44.369999,44.43
