time,price,volume
2017-02-01T09:31:00.000Z,87.85,544
2017-02-01T09:34:00.000Z,87.45,900
2017-02-01T09:40:00.000Z,88.2,1321
2017-02-01T10:25:00.000Z,87.75,1729
2017-02-01T10:33:00.000Z,88,1877
2017-02-01T10:41:00.000Z,87.65,2234
2017-02-01T10:43:00.000Z,87.8,2345
2017-02-01T11:09:00.000Z,88.1,2538
2017-02-01T11:12:00.000Z,88.3,2739
2017-02-01T11:19:00.000Z,88,2874
2017-02-01T11:26:00.000Z,88,3602
2017-02-01T11:28:00.000Z,87.95,3805
2017-02-01T11:29:00.000Z,87.6,3915
2017-02-01T11:31:00.000Z,87.95,4116
2017-02-01T11:43:00.000Z,87.9,4416
2017-02-01T11:44:00.000Z,88.15,4627
2017-02-01T11:55:00.000Z,88.075,5040
2017-02-01T12:31:00.000Z,88,5477
2017-02-01T12:36:00.000Z,88.1181,6124
2017-02-01T12:58:00.000Z,88,6261
2017-02-01T13:38:00.000Z,88.2,7310
2017-02-01T13:44:00.000Z,88.2,8844
2017-02-01T13:45:00.000Z,88.2,9952
2017-02-01T13:46:00.000Z,87.95,11824
2017-02-01T14:03:00.000Z,87.55,11944
2017-02-01T14:05:00.000Z,87.9,12433
2017-02-01T14:06:00.000Z,87.9,12533
2017-02-01T14:09:00.000Z,88.15,13449
2017-02-01T14:10:00.000Z,88.35,13560
2017-02-01T14:14:00.000Z,88.4,13783
2017-02-01T14:15:00.000Z,88.275,13883
2017-02-01T14:16:00.000Z,88.2282,15038
2017-02-01T14:20:00.000Z,88.35,15138
2017-02-01T14:21:00.000Z,88.1,15524
2017-02-01T14:30:00.000Z,88,15690
2017-02-01T14:33:00.000Z,88,16000
2017-02-01T14:35:00.000Z,88,16402
2017-02-01T14:41:00.000Z,88.1,16611
2017-02-01T14:51:00.000Z,88.05,16801
2017-02-01T14:56:00.000Z,88.05,16936
2017-02-01T15:00:00.000Z,88.05,17036
2017-02-01T15:24:00.000Z,88.25,17241
2017-02-01T15:25:00.000Z,88.25,17343
2017-02-01T15:31:00.000Z,88.1,17544
2017-02-01T15:33:00.000Z,88.25,17644
2017-02-01T15:34:00.000Z,88.3,18055
2017-02-01T15:35:00.000Z,88.3,18355
2017-02-01T15:36:00.000Z,88.85,20508
2017-02-01T15:37:00.000Z,88.85,20708
2017-02-01T15:38:00.000Z,88.9,21708
2017-02-01T15:39:00.000Z,88.95,22514
2017-02-01T15:40:00.000Z,89.25,22914
2017-02-01T15:41:00.000Z,89.3,23414
2017-02-01T15:42:00.000Z,89.45,24235
2017-02-01T15:43:00.000Z,89.45,24735
2017-02-01T15:44:00.000Z,89.4,26135
2017-02-01T15:45:00.000Z,90,26435
2017-02-01T15:46:00.000Z,90.15,27185
2017-02-01T15:47:00.000Z,90.05,28567
2017-02-01T15:48:00.000Z,90.15,28967
2017-02-01T15:49:00.000Z,90.15,30579
2017-02-01T15:50:00.000Z,90.15,31686
2017-02-01T15:51:00.000Z,90.5,31886
2017-02-01T15:52:00.000Z,90.5,32908
2017-02-01T15:53:00.000Z,90.65,34073
2017-02-01T15:54:00.000Z,90.9,37273
2017-02-01T15:55:00.000Z,91.8,40194
2017-02-01T15:56:00.000Z,92.95,41095
2017-02-01T15:57:00.000Z,92.8,42289
2017-02-01T15:58:00.000Z,92.4,44599
2017-02-01T15:59:00.000Z,91.85,46439
2017-02-01T16:00:00.000Z,91.95,50660
2017-02-02T09:31:00.000Z,91.75,270
2017-02-02T11:16:00.000Z,91.45,960
2017-02-02T11:54:00.000Z,90.6,1222
